
********************************
MATRIX 32 

MATRIX 64 

MATRIX 128 

MATRIX 256 
********************************
 matrix  credit     avg_run     avg_exe     std_run   std_exe
***************************************************************
( 32x 32    25)       1014       3227         41        171
( 32x 32    50)       1034       2166          5        132
( 32x 32    75)       1049       2142          9        135
( 32x 32   100)       1034       1101          3        132
***************************************************************
( 64x 64    25)       2175      11537         66       2717
( 64x 64    50)       2135       9129          9       1570
( 64x 64    75)       2697       8562       1544        182
( 64x 64   100)       2442       6420       1160        184
***************************************************************
(128x128    25)       4160      26317        367       2966
(128x128    50)       4109      22648        365       3257
(128x128    75)       4231      21461         78       1774
(128x128   100)       4239      17878         28       2876
***************************************************************
(256x256    25)       8763      56187        101       1973
(256x256    50)       8730      47906         54       2788
(256x256    75)       8647      47982        204       3010
(256x256   100)       8308      39245        918       3012
***************************************************************
